"Costo" "Experto1" "Experto2" "Experto3"
"1" 0 0 0 0
"6" 500 0 0 0
"11" 1000 0 0 0
"16" 1500 0 0 0
"21" 2000 0 0 0
"26" 2500 0 0 0
"31" 3000 10 100 0
"36" 3500 10 100 0
"41" 4000 10 100 0
"46" 4500 10 100 0
"51" 5000 10 100 0
"56" 5500 150 200 0
"61" 6000 150 200 0
"66" 6500 150 200 0
"71" 7000 150 200 0
"76" 7500 150 200 0
"81" 8000 200 450 150
"86" 8500 200 450 150
"91" 9000 200 450 150
"96" 9500 200 450 150
"101" 10000 200 450 150
"106" 10500 200 100 200
"111" 11000 200 100 200
"116" 11500 200 100 200
"121" 12000 200 100 200
"126" 12500 200 100 200
"131" 13000 100 100 300
"136" 13500 100 100 300
"141" 14000 100 100 300
"146" 14500 100 100 300
"151" 15000 100 100 300
"156" 15500 100 0 200
"161" 16000 100 0 200
"166" 16500 100 0 200
"171" 17000 100 0 200
"176" 17500 100 0 200
"181" 18000 80 0 50
"186" 18500 80 0 50
"191" 19000 80 0 50
"196" 19500 80 0 50
"201" 20000 80 0 50
"206" 20500 70 0 25
"211" 21000 70 0 25
"216" 21500 70 0 25
"221" 22000 70 0 25
"226" 22500 70 0 25
"231" 23000 30 0 25
"236" 23500 30 0 25
"241" 24000 30 0 25
"246" 24500 30 0 25
"251" 25000 30 0 25
"256" 25500 5 20 25
"261" 26000 5 20 25
"266" 26500 5 20 25
"271" 27000 5 20 25
"276" 27500 5 20 25
"281" 28000 5 20 15
"286" 28500 5 20 15
"291" 29000 5 20 15
"296" 29500 5 20 15
"301" 30000 5 20 15
"306" 30500 5 0 5
"311" 31000 5 0 5
"316" 31500 5 0 5
"321" 32000 5 0 5
"326" 32500 5 0 5
"331" 33000 10 0 5
"336" 33500 10 0 5
"341" 34000 10 0 5
"346" 34500 10 0 5
"351" 35000 10 0 5
"356" 35500 10 0 0
"361" 36000 10 0 0
"366" 36500 10 0 0
"371" 37000 10 0 0
"376" 37500 10 0 0
"381" 38000 10 0 0
"386" 38500 10 0 0
"391" 39000 10 0 0
"396" 39500 10 0 0
"401" 40000 10 0 0
"406" 40500 15 0 0
"411" 41000 15 0 0
"416" 41500 15 0 0
"421" 42000 15 0 0
"426" 42500 15 0 0
"431" 43000 0 0 0
"436" 43500 0 0 0
"441" 44000 0 0 0
"446" 44500 0 0 0
"451" 45000 0 0 0
"456" 45500 0 10 0
"461" 46000 0 10 0
"466" 46500 0 10 0
"471" 47000 0 10 0
"476" 47500 0 10 0
"481" 48000 0 0 0
"486" 48500 0 0 0
"491" 49000 0 0 0
"496" 49500 0 0 0
"501" 50000 0 0 0
